tag,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
3,28.984276,9.799723,34.053777,25.803541,12.982000,38.444230,19.224397,19.918215,42.677518,12.076468,25.841421,40.398906,8.123661,27.879658,36.930851,6.531781,28.351656,35.188324,4.371280,28.612007,32.499236,2.836628,28.686462,30.127004,2.457340,28.663080,29.498254,2.264587,28.543065,29.276045
3,26.173936,6.987191,34.591277,23.357667,10.251401,39.808181,18.317967,15.711264,44.838509,12.613798,20.040303,45.207609,7.112459,23.662247,40.393436,4.868616,24.742208,37.118161,3.549256,24.932868,35.149953,2.002977,24.242025,33.264067,0.949710,23.901191,31.452471,1.009141,23.808185,31.682023
3,35.788663,15.162297,28.800097,33.835340,20.191396,29.641528,28.644280,29.713578,27.995791,23.957199,36.523257,25.001534,21.095934,39.918017,23.163644,19.511835,41.739656,21.909607,19.141710,42.287090,21.392005,18.695980,42.935404,20.751202,18.031907,43.651625,20.140955,17.647907,44.147620,19.619778
3,17.047491,45.154506,7.729381,15.035391,46.403000,7.335510,12.910701,47.451460,6.830215,11.526652,47.885275,6.342107,10.997133,47.891595,5.975856,10.473613,47.868844,5.612359,10.218455,47.869983,5.464633,9.793992,47.841553,5.197287,9.623770,47.815274,5.077834,9.374165,47.794423,4.931317
3,20.794974,3.767974,35.832564,20.098186,4.708818,37.923151,18.752218,5.588053,40.367482,17.716938,6.380222,42.217789,17.377048,6.743712,42.884871,17.182855,7.055230,43.343418,17.049632,7.263421,43.640968,16.844284,7.576314,44.074557,16.668223,7.837476,44.423771,16.664038,8.210873,44.689015
3,33.062622,10.036219,30.165253,32.829294,10.540771,30.667579,32.502733,11.196075,31.298325,31.965977,11.966369,32.128223,31.156837,12.924032,33.207819,30.388098,13.929183,34.152328,29.766853,14.834462,34.839506,28.845034,15.924272,35.720876,28.202479,16.760660,36.248753,27.532864,17.598157,36.729099
3,35.729815,14.727149,28.856934,34.207471,15.971549,30.385206,31.802668,17.929882,32.501318,28.506971,20.988152,34.616512,24.609468,24.590321,35.947965,21.824609,27.536157,35.754544,20.576100,29.416191,34.901311,19.963461,30.561761,34.194008,18.534969,32.814342,32.723843,16.860082,34.891810,31.247449
3,36.144523,15.305243,28.428730,35.034822,19.931650,28.477060,31.805492,24.383203,29.306296,28.739282,27.147894,30.278952,24.009191,29.701505,32.273470,20.529514,30.927827,33.532991,19.632003,30.841532,34.106831,18.879642,30.730859,34.579461,18.577738,30.854137,34.599192,18.577738,30.854137,34.599192
3,38.671138,15.860670,25.704651,29.388437,22.497675,32.978835,16.661199,29.746846,36.339100,12.161060,32.143919,34.325418,11.745027,33.792686,32.586747,12.338942,36.238183,30.214445,12.595136,37.648403,28.791323,12.578095,38.720624,27.661527,12.638262,39.312711,27.037630,12.629072,39.521458,26.812599
3,47.371144,15.912308,11.427527,45.891100,18.092451,13.095347,43.182981,21.497872,14.839881,38.365273,26.729745,16.857383,33.923775,31.100682,18.195002,29.765905,34.978298,19.024030,26.565689,38.213921,18.386415,24.189318,40.735634,16.968622,23.062538,41.895175,16.049672,22.016638,42.890924,15.227303
3,41.332276,13.308352,22.812302,35.933605,20.123764,27.405437,27.003390,29.767771,29.594632,19.765600,35.847156,28.999220,15.678620,39.415623,26.732871,13.148993,41.695332,24.439810,11.487453,43.199860,22.522991,11.018390,43.697254,21.828776,11.018390,43.697254,21.828776,11.018390,43.697254,21.828776
0,31.921450,12.873773,32.437350,37.757571,14.483819,26.743797,41.820117,15.796311,22.118928,44.771305,17.718706,16.925813,45.911320,17.781971,13.917807,46.375829,17.425413,12.616314,46.496552,17.324911,12.011267,46.641760,17.124123,11.542401,46.647390,17.114710,11.301959,46.643827,17.094344,10.903902
0,13.835147,32.227803,34.379362,17.034670,36.431195,29.594246,19.346506,39.789235,24.688798,20.616884,42.438639,19.587806,21.159942,43.278647,16.538934,21.578939,43.342852,14.245562,21.718662,43.225587,13.124305,21.721390,43.185736,12.691704,21.718563,43.143386,12.347986,21.818547,43.061033,12.364424
0,29.311052,15.118700,35.292026,35.111342,19.969668,28.377409,37.745931,23.535102,22.853956,39.179447,25.079520,18.452195,40.058938,24.881347,16.496829,40.466443,24.745119,15.269539,41.084576,24.240487,13.565560,41.578663,23.502786,11.559087,41.991589,22.791742,10.609199,42.133587,22.566382,10.405040
0,8.494732,31.385233,33.630417,10.444273,35.997328,29.944970,12.071751,40.771719,25.379785,12.910405,45.688316,19.392672,13.016928,47.547087,16.204951,13.165148,47.914237,15.294913,13.224654,48.055630,14.883166,13.309552,48.247950,14.227241,13.275781,48.401224,13.702337,13.300671,48.450522,13.458949
0,24.148362,29.334357,32.497182,27.793524,34.640147,23.065158,27.898675,37.672633,15.445739,27.290726,37.651865,10.907362,27.475403,36.815208,9.513392,27.659054,36.303815,8.957765,27.621044,35.965285,8.402317,27.494386,35.488043,7.622937,27.568304,35.092458,7.244856,27.641760,34.955439,7.171380
0,28.022443,16.989018,36.384575,33.255626,19.516982,30.526705,36.554389,21.190317,26.128694,39.408817,23.357954,20.515405,40.630393,24.145712,16.613314,41.042263,24.249768,14.180517,40.846190,24.298603,11.548315,40.323360,24.194641,9.692159,40.165126,24.068790,9.133072,40.165126,24.068790,9.133072
0,25.368863,12.099644,38.634166,33.872795,12.818216,30.477871,41.615235,12.725731,22.420417,45.168984,11.560024,18.015728,46.026341,11.048553,16.771170,46.272798,11.103197,16.448509,46.877789,16.748697,11.492023,44.048015,19.168883,7.930665,43.289825,19.426133,7.153916,43.108015,19.598348,7.122885
0,24.308972,21.848771,37.915910,28.611523,24.762500,32.266339,32.007515,28.221539,25.689581,33.760840,30.658708,19.629381,34.310954,30.838413,17.785415,34.641773,30.699959,17.102088,34.776250,30.612089,16.903835,34.776250,30.612089,16.903835,34.776250,30.612089,16.903835,34.776250,30.612089,16.903835
0,21.926448,32.511631,31.116295,24.130962,37.824607,23.029145,24.707815,39.877348,18.284469,24.943445,40.457356,14.378679,24.580040,40.347251,11.287280,24.484972,40.091658,10.364278,24.441374,39.983211,10.033489,24.468007,39.715245,9.551798,24.584033,39.339751,9.084587,24.584033,39.339751,9.084587
0,12.340228,33.237963,33.260555,15.927621,39.453121,26.629803,17.087009,42.760892,22.126525,17.373904,44.605267,19.040354,17.527456,45.883952,15.893986,17.455593,46.384307,13.652405,17.418851,46.438307,12.279916,17.424703,46.401897,11.865080,17.425385,46.372351,11.617594,17.418747,46.281039,11.044417
0,27.724758,10.092585,35.467574,32.326760,11.304134,31.518628,37.961857,13.957101,26.497816,41.194666,15.377174,22.932255,42.930919,15.729111,20.752248,44.629200,16.460314,18.074491,45.611219,18.047932,14.445049,45.578379,18.574770,13.088820,45.557863,18.670539,12.702931,45.496415,18.766388,12.650579
0,29.983728,21.423139,32.980536,35.912358,25.144106,23.809564,37.939276,26.240237,19.088723,38.730862,26.586350,15.896643,38.320567,27.099648,12.167656,37.395632,27.144041,9.639702,37.282831,27.036933,9.235842,37.209655,26.968689,8.995639,37.209655,26.968689,8.995639,37.209655,26.968689,8.995639
0,16.581551,28.790960,37.246004,19.753778,35.006290,29.900537,21.166591,37.991077,25.628669,21.686002,41.084230,20.732344,21.703654,42.933596,16.275102,21.844797,43.079428,14.832972,22.069458,42.926526,14.512049,22.305197,42.757198,13.837584,22.523051,42.549325,13.168114,22.827000,42.259576,12.865333
0,32.207831,8.081681,29.644437,38.360939,9.586781,24.637387,45.052163,11.893219,18.230266,47.845695,12.895177,13.842949,48.406409,12.990234,12.337566,48.570973,13.009525,11.714561,48.680826,13.104656,10.984971,48.660480,13.347852,10.038042,48.619788,13.415119,9.625710,48.613079,13.406205,9.476978
0,22.626120,22.444404,38.901873,27.720687,26.784781,31.567888,30.909429,30.775226,24.138940,32.180883,32.854452,18.307107,32.640459,32.964264,16.122002,32.935763,32.780249,15.186182,33.287683,32.456550,14.439929,33.300243,32.412665,13.628738,33.372731,32.209714,12.648457,33.555430,31.953562,12.287891
0,34.071129,13.085606,30.339841,38.944808,14.605445,25.485402,42.596944,16.265930,21.029596,44.714582,19.071232,15.335116,44.595050,20.018856,12.364726,44.582850,19.963887,11.373589,44.535419,19.914403,10.804880,44.441492,19.996057,10.669447,44.441492,19.996057,10.669447,44.441492,19.996057,10.669447
0,19.618955,25.455549,38.787743,24.514325,30.945481,30.689549,27.663257,34.901974,22.855175,28.248225,37.381199,14.910978,27.896204,37.363535,11.786461,28.053908,37.053317,11.280693,28.117145,36.870136,10.944780,28.174506,36.679757,10.611186,28.239425,36.507759,10.363432,28.329004,36.384006,10.283379
0,31.725953,8.759627,30.649664,36.822507,10.286459,26.569092,41.423500,11.657806,22.382532,45.257196,13.448788,18.043330,46.874942,14.238339,15.283479,47.612797,15.078751,12.620388,47.213061,16.138282,10.349756,46.978430,16.362288,9.749326,46.978430,16.362288,9.749326,46.978430,16.362288,9.749326
0,25.252726,17.636056,38.817889,29.328464,20.623698,33.999586,32.431163,23.219921,29.448680,34.385251,25.432138,25.509133,35.829743,27.541308,21.040423,36.411494,27.719623,19.653368,36.728337,27.582972,19.232606,36.941693,27.542588,18.830575,37.174333,27.509681,18.335140,37.444400,27.341504,18.015595
0,33.865950,8.239042,28.146896,39.634530,10.112535,23.634675,43.971621,11.894626,19.562108,46.793077,14.120550,15.489096,47.344198,15.536199,12.889918,46.923030,16.661157,11.699270,46.462600,17.388076,11.157013,46.200563,17.750867,10.960642,46.132304,17.841239,10.911006,46.132304,17.841239,10.911006
0,10.732453,41.668753,24.071582,11.923349,44.114578,21.485524,12.387298,45.358828,19.888576,12.687915,46.160746,18.711355,13.018434,46.499896,18.124116,13.110071,46.737666,17.703415,13.213682,47.003902,17.199446,13.294679,47.209488,16.780336,13.355948,47.363087,16.445696,13.414062,47.506866,16.111696
1,38.045675,26.881703,17.455126,37.041372,26.373828,20.621554,35.870322,26.018258,22.938453,34.385251,25.432138,25.509133,32.026477,23.667925,29.577613,28.910345,21.382838,34.040122,26.650964,19.873496,36.827033,25.655849,19.193433,37.982839,24.901962,18.671854,38.829795,22.529954,16.994186,41.328481
1,45.848605,15.621998,16.478106,43.459401,14.540654,20.305401,41.321126,13.694053,22.855365,39.905002,13.055230,24.333085,37.604397,12.211908,26.546139,34.926972,11.031840,28.817856,32.123323,10.029062,31.089184,29.915208,9.119179,32.692366,28.484689,8.564003,33.698360,27.668073,8.240219,34.248791
1,11.279273,49.204879,9.196312,11.010006,49.403346,10.210922,10.893252,49.425525,10.928224,10.870549,49.400846,11.307474,10.837414,49.348002,11.765045,10.811756,49.298760,12.071484,10.683585,49.221066,12.493558,10.447542,49.087384,13.029321,10.324831,48.757559,13.957799,10.177270,48.333088,14.891674
1,28.439725,36.671192,17.829425,29.907893,31.536885,24.492963,29.165627,28.470504,28.660340,28.012212,26.247360,31.723201,26.318986,24.575900,34.506712,23.517359,22.670015,38.077942,20.180299,21.303191,41.304095,15.635602,18.846469,45.149896,12.001217,16.420295,47.482539,10.412614,15.561224,48.045184
1,38.907118,26.504682,15.330758,35.549601,29.129727,18.768028,33.698755,30.106789,20.779000,32.785317,30.313050,22.024481,32.104263,30.321207,23.059677,31.312417,30.050180,24.503155,30.361611,29.627461,26.168255,29.245409,28.703266,28.354825,28.233229,26.736950,31.117585,27.425974,24.731217,33.402177
